complete_address,address,city,province,latitude,longitude,revenue
NR 40 ORCHARD VIEW BLVD,40 ORCHARD VIEW BLVD,Toronto,ON,43.70822618,-79.39972215,2130790
OPP 410 COLLEGE ST,410 COLLEGE ST ,Toronto,ON,43.65713518,-79.4063024,1449970
NR 21 HILLCREST AV,21 HILLCREST AV,Toronto,ON,43.76777117,-79.41124403,1375850
NR 18 GRENVILLE ST,18 GRENVILLE ST,Toronto,ON,43.6621706,-79.38451713,1163650
NR 150 DAN LECKIE WAY,150 DAN LECKIE WAY,Toronto,ON,43.63993499,-79.39876116,1077215
AT 1 BRIMLEY RD S,1 BRIMLEY RD S   ,Toronto,ON,43.70801396,-79.23650357,974240
2075 BAYVIEW AV,2075 BAYVIEW AV ,Toronto,ON,43.72306278,-79.37289636,972770
AT 555 REXDALE BLVD,555 REXDALE BLVD ,Toronto,ON,43.71533475,-79.60376726,740350
NR 22 MC CAUL ST,22 MC CAUL ST ,Toronto,ON,43.6513067,-79.39043896,713920
NR 20 EDWARD ST,20 EDWARD ST ,Toronto,ON,43.65715327,-79.38210054,681795
NR 106 BEVERLEY ST,106 BEVERLEY ST,Toronto,ON,43.6534236,-79.39407765,680640
NR 273 BLOOR ST W,273 BLOOR ST W,Toronto,ON,43.66794646,-79.39623157,611480
AT 1090 DON MILLS RD,1090 DON MILLS RD,Toronto,ON,43.73427138,-79.34568525,586610
NR 15 MARINE PARADE DR,15 MARINE PARADE DR,Toronto,ON,43.62904746,-79.47551403,524965
NR 42 CHARLES ST E,42 CHARLES ST E,Toronto,ON,43.66950255,-79.38413862,505160
NR 32 GRENVILLE ST,32 GRENVILLE ST,Toronto,ON,43.66214398,-79.3853197,493660
NR 60 MURRAY ST,60 MURRAY ST,Toronto,ON,43.65802155,-79.39186782,484250
NR 1 BRIMLEY RD S,1 BRIMLEY RD S,Toronto,ON,43.70867136,-79.23777398,483620
AT 1675 LAKE SHORE BLVD E,1675 LAKE SHORE BLVD E,Toronto,ON,43.66580674,-79.30233227,471150
AT 1265 MILITARY TRL,1265 MILITARY TRL ,Toronto,ON,43.78268653,-79.1853174,469710
